2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=716 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=717 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=718 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=719 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=720 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=721 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=722 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,574 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=723 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,574 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=724 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,574 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=725 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,574 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=726 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,574 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=727 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
